corpus_id,seed_type,category,title,authors,year,journal,doi,pmid,primary_topic,doc_type,recency_flag,geo_scope,population,evidence_type,selection_source,rationale,role
MS-T1-025,core,Consensus/Guideline,IPMSSG criteria for pediatric MS (2013 revisions),Krupp LB et al.,2013,Mult Scler Journal,https://doi.org/10.1177/1352458513484547,23572237,TOPIC-12 Pediatric MS,Consensus/Guideline,⚠️,Multi-regional,Pediatric,Consensus,Seed — Topic 12A,International Pediatric MS Study Group criteria; distinguishes pediatric MS from ADEM and other demyelinating diseases; standard diagnostic reference for all pediatric MS literature; generates pediatric-specific citation neighborhood,seed-aging
MS-T1-026,core,Landmark RCT,Trial of fingolimod vs IFN beta-1a in pediatric MS (PARADIGMS),Chitnis T et al.,2018,NEJM,https://doi.org/10.1056/NEJMoa1800149,30207923,TOPIC-12 Pediatric MS,Landmark RCT,✅,Multi-regional,Pediatric,RCT,Seed — Topic 12B,PARADIGMS is the pivotal pediatric MS trial; only head-to-head DMT RCT in pediatric population; establishes pediatric-specific evidence base; EBV and neurodevelopment literature emerges from this population,seed-current
MS-T1-027,core,Equity/SDOH,The prevalence of multiple sclerosis in the United States by race and ethnicity,Wallin MT et al.,2023,JAMA Neurology,https://doi.org/10.1001/jamaneurol.2023.1135,,TOPIC-13 Equity & SDOH,Equity/SDOH,✅,North America,Mixed,Observational Cohort,Seed — Topic 13A,Population-based US prevalence estimate by race/ethnicity; empirically anchors disparities epidemiology with a strong citation neighborhood and direct relevance to diagnostic equity and treatment access,seed-current
MS-T1-028,core,Equity/SDOH,Racial and ethnic disparities in MS prevalence,Langer-Gould A et al.,2022,Neurology,https://doi.org/10.1212/WNL.0000000000200151,35501161,TOPIC-13 Equity & SDOH,Equity/SDOH,✅,North America,Mixed,Observational Cohort,Seed — Topic 13B,Large-scale Southern California MS cohort establishing higher prevalence in Black and Hispanic populations vs historical white-dominant estimates; empirical complement to structural racism review; expands into disparities epidemiology literature,seed-current
MS-T1-029,core,Mechanistic Review,Artificial intelligence and multiple sclerosis,Prados F et al.,2024,Curr Neurol Neurosci Rep,https://doi.org/10.1007/s11910-024-01354-x,38940994,TOPIC-14 Clinical AI,Mechanistic Review,✅,Europe,Adult,Narrative Review,Seed — Topic 14A,"Current AI applications review covering lesion segmentation, progression prediction, treatment response; addresses implementation gap and explainability; expands into clinical AI and digital health literature",seed-current
MS-T1-030,core,Mechanistic Review,Integrating big data and AI to predict MS progression,Noteboom S et al.,2025,J NeuroEng Rehab,https://doi.org/10.1186/s12984-025-01748-z,,TOPIC-14 Clinical AI,Mechanistic Review,✅,Europe,Adult,Narrative Review,Seed — Topic 14B,"2025 synthesis of multimodal data integration for progression prediction; covers wearables, EHR, imaging, and CSF biomarkers as inputs to ML models; bridges AI (TOPIC-14) and biomarkers (TOPIC-06) and progressive MS (TOPIC-08)",seed-current
MS-T1-031,core,Epidemiological/Burden,AI-driven reclassification of MS progression,Louapre C et al.,2025,Nature Medicine,https://doi.org/10.1038/s41591-025-03901-6,,TOPIC-14 Clinical AI,Epidemiological/Burden,✅,Europe,Adult,Observational Cohort,Seed — Topic 14C (redistributed from TOPIC-15 v1.3),2025 data-driven MS reclassification challenging traditional phenotypes; Nature Medicine publication signals field-level significance; bridges AI/ML methods (TOPIC-14) and disease categorization (TOPIC-01/TOPIC-08); generates emerging frontiers citation neighborhood,seed-current
MS-T1-032,core,Mechanistic Review,Remyelination in CNS: from biology to therapy,"Franklin RJM, Ffrench-Constant C",2008,Nat Rev Neuroscience,https://doi.org/10.1038/nrn2480,18931697,TOPIC-15 Emerging Frontiers,Mechanistic Review,⚓,Europe,Adult,Narrative Review,Seed — Topic 15B,Foundational remyelination review; oligodendrocyte precursor biology; remyelination failure in chronic MS; generates forward citation neighborhood for all remyelination and neuroprotection therapeutic target papers,seed-foundational
MS-T1-033,core,Strategic Review,Pathways to cures for MS: research roadmap 2022,Bebo BF et al. (NMSS),2022,Mult Scler Journal,https://doi.org/10.1177/13524585221075990,35236198,TOPIC-08 Progressive MS,Strategic Review,✅,North America,Adult,Expert Opinion,Framing Seed R7 — Promoted from Topic 16A,"NMSS Stop/Restore/End framework incorporating input from 300+ people living with MS; endorsed by 30+ MS societies; reference list is a high-quality expansion signal for foundational papers across progressive MS, biomarkers, and equity; promoted to framing anchor R7 in v1.3",seed-review-anchor
MS-T1-034,core,Strategic Review,Refined Pathways to Cures Research Roadmap 2024,Bebo BF et al. (NMSS),2024,Mult Scler Journal,https://doi.org/10.1177/13524585241266483,,TOPIC-08 Progressive MS,Strategic Review,✅,Multi-regional,Adult,Expert Opinion,Framing Seed R8 — Promoted from Topic 16B,2024 update to Cures Roadmap; multi-regional authorship; incorporates smoldering MS and remyelination evidence; promoted to framing anchor R8 in v1.3; reference list adds recency signal for frontier papers post-2022,seed-review-anchor
MS-T1-035,core,Epidemiological/Burden,Rising prevalence of MS: Atlas of MS 3rd edition,Walton C et al. (MSIF),2020,Mult Scler Journal,https://doi.org/10.1177/1352458520970841,33174475,TOPIC-00 Epidemiology,Epidemiological/Burden,✅,Global,Adult,Epidemiological/Burden,Seed — Topic 0A,MSIF global prevalence atlas; 2.8 million people with MS worldwide; geographic distribution including coverage gaps in Africa and Global South; primary quantitative frame for epidemiology topic and global burden discussion,seed-current
MS-T1-036,core,Systematic Review/Meta-Analysis,Global burden of MS 1990-2016 (GBD 2016),GBD 2016 MS Collaborators,2019,Lancet Neurology,https://doi.org/10.1016/S1474-4422(18)30443-5,30679040,TOPIC-00 Epidemiology,Systematic Review/Meta-Analysis,✅,Global,Adult,Systematic Review,Seed — Topic 0B,"GBD systematic review of MS burden across 195 countries; incidence, prevalence, DALYs, mortality trends; Lancet Neurology anchor generating large epidemiology and global health citation neighborhood",seed-current
MS-T1-037,core,Epidemiological/Burden,Validity of the Symbol Digit Modalities Test as a cognition performance outcome measure for multiple sclerosis,Benedict RHB et al.,2017,Multiple Sclerosis Journal,https://doi.org/10.1177/1352458517690821,,TOPIC-09 PROs,Epidemiological/Burden,⚠️,Multi-regional,Adult,Observational Cohort,Seed augmentation — Topic 9C,"MS-specific validation of SDMT as a cognitive performance endpoint; high structural centrality in outcome-measure literature and direct bridge between cognition, PROs, and trial endpoint design",seed-aging
MS-T1-038,core,Epidemiological/Burden,The Multiple Sclerosis Impact Scale (MSIS-29): a new patient-based outcome measure,Hobart J et al.,2001,Brain,https://doi.org/10.1093/brain/124.5.962,,TOPIC-09 PROs,Epidemiological/Burden,⚓,Europe,Adult,Observational Cohort,Seed augmentation — Topic 9D,Foundational patient-reported impact instrument used across MS studies; provides deep historical citation linkage for fatigue and quality-of-life outcome measurement,seed-foundational
MS-T1-039,core,Equity/SDOH,The incidence of multiple sclerosis in multiple racial and ethnic groups,Langer-Gould A et al.,2013,Neurology,https://doi.org/10.1212/WNL.0b013e3182918cc2,,TOPIC-13 Equity & SDOH,Equity/SDOH,⚠️,North America,Mixed,Observational Cohort,Seed augmentation — Topic 13C,Canonical incidence study across racial/ethnic groups; complements prevalence-focused seeds and strengthens TOPIC-13 structural connectivity through an established citation neighborhood,seed-aging
MS-T1-040,core,Mechanistic Review,"Progressive multiple sclerosis: prospects for disease therapy, repair, and restoration of function",Ontaneda D et al.,2016,The Lancet,https://doi.org/10.1016/S0140-6736(16)31320-4,,TOPIC-08 Progressive MS & Smoldering,Mechanistic Review,⚠️,Multi-regional,Adult,Narrative Review,Seed augmentation — Topic 8C,"Progressive MS research agenda including disease biology, trial strategy, and repair; redistributed from TOPIC-16 to TOPIC-08 in v1.3; Lancet Neurology bridge across progressive disease and repair literature",seed-aging
MS-T1-041,core,Equity/SDOH,Association of Disease Severity and Socioeconomic Status in Black and White Americans With Multiple Sclerosis,Gray-Roncal K et al.,2021,Neurology,https://doi.org/10.1212/wnl.0000000000012362,34193590,TOPIC-13 Equity & SDOH,Equity/SDOH,✅,North America,Mixed,Observational Cohort,Seed — Topic 13D,Documents persistent disease-severity disparities between Black and White Americans with MS independent of race; links SES as a mediating factor; bridges structural racism and clinical outcomes; complements Langer-Gould 2022 (MS-T1-028) prevalence data with severity and SES outcomes evidence,seed-current
MS-T1-042,core,Landmark RCT,"A randomized, placebo-controlled trial of natalizumab for relapsing multiple sclerosis",Polman CH et al.,2006,NEJM,https://doi.org/10.1056/NEJMoa044397,16510744,TOPIC-07 DMTs,Landmark RCT,⚓,Multi-regional,Adult,RCT,Seed augmentation — Topic 7C,"AFFIRM trial; established natalizumab as first highly effective DMT; VLA-4 integrin mechanism distinct from anti-CD20; citation neighborhood covers PML/JC risk management, treatment escalation vs treat-to-target debate; ~3000 citations",seed-foundational
MS-T1-043,core,Landmark RCT,Siponimod versus placebo in secondary progressive multiple sclerosis (EXPAND),Kappos L et al.,2018,The Lancet,https://doi.org/10.1016/S0140-6736(18)30475-6,29576505,TOPIC-07 DMTs,Landmark RCT,⚠️,Multi-regional,Adult,RCT,Seed augmentation — Topic 7D,EXPAND trial; first S1P modulator to slow disability accumulation in SPMS; bridges TOPIC-07 (DMTs) and TOPIC-08 (progressive MS); covers distinct SPMS-specific treatment evidence neighborhood; siponimod and S1P modulator literature,seed-aging
MS-T1-044,core,Mechanistic Review,Blood GFAP as an emerging biomarker in brain and spinal cord disorders,Abdelhak A et al.,2022,Nat Rev Neurol,https://doi.org/10.1038/s41582-022-00626-7,35260798,TOPIC-06 Biomarkers,Mechanistic Review,✅,Multi-regional,Adult,Narrative Review,Seed augmentation — Topic 6C,GFAP cross-disease review; complements NfL (MS-T1-013) by anchoring astrocyte-injury biomarker literature; opens GFAP-specific citation neighborhood not reachable from NfL-focused seeds; Nat Rev Neurol anchor for emerging fluid biomarker panel literature,seed-current
MS-T1-045,core,Consensus/Guideline,Diagnosis of MS: 2024 revisions of McDonald criteria,"Montalban X, Oh J, Banwell B et al.",2025,Lancet Neurology,https://doi.org/10.1016/S1474-4422(25)00270-4,40975101,TOPIC-06 Biomarkers,Consensus/Guideline,✅,Multi-regional,Adult,Consensus,Seed augmentation — Topic 6D (also Framing Seed R6),2024 McDonald criteria; formally incorporates serum biomarkers into diagnostic algorithm; bridges TOPIC-05 and TOPIC-06; establishes clinical thresholds for NfL and kappa free light chains in diagnosis; authoritative biomarker criteria document,seed-current
MS-T1-046,core,Equity/SDOH,Advancing care and outcomes for African American patients with multiple sclerosis,Okai AF et al.,2022,Neurology,https://doi.org/10.1212/wnl.0000000000200791,35470139,TOPIC-13 Equity & SDOH,Equity/SDOH,✅,North America,Mixed,Observational Cohort,Seed augmentation — Topic 13E (promoted from T4-017),"DMT access and clinical outcomes for African American MS patients; fills DMT access disparity gap absent from prevalence/incidence-focused equity seeds; generates distinct citation neighborhood covering access barriers, treatment uptake, and outcomes by race",seed-current
MS-T1-047,core,Mechanistic Review,Exercise as medicine in multiple sclerosis — time to act,Dalgas U et al.,2019,JAMA Neurology,https://doi.org/10.1001/jamaneurol.2018.4042,,TOPIC-16 Symptom Management,Mechanistic Review,✅,Multi-regional,Adult,Narrative Review,Seed augmentation — Topic 16A (promoted from T4-035),"JAMA Neurology anchor for exercise-as-treatment literature; opens rehabilitation and exercise intervention neighborhood for TOPIC-16; cross-domain coverage of fatigue, cognition, and mood outcomes of exercise",seed-current
MS-T1-048,core,Systematic Review/Meta-Analysis,Rehabilitation in multiple sclerosis: a systematic review of systematic reviews,"Khan F, Amatya B",2017,Arch Phys Med Rehabil,https://doi.org/10.1016/j.apmr.2016.04.016,,TOPIC-16 Symptom Management,Systematic Review/Meta-Analysis,⚠️,Multi-regional,Adult,Systematic Review,Seed augmentation — Topic 16B (promoted from T4-039),"Umbrella review of rehabilitation evidence in MS; covers fatigue, cognition, mobility, pain management, spasticity; JLA patient priority for multidisciplinary care; broadest expansion anchor for non-DMT symptom management literature",seed-aging
MS-T1-049,core,Mechanistic Review,Remyelination in multiple sclerosis: from basic science to clinical translation,Lubetzki C et al.,2020,Lancet Neurology,https://doi.org/10.1016/S1474-4422(20)30203-3,32702338,TOPIC-15 Emerging Frontiers,Mechanistic Review,✅,Europe,Adult,Narrative Review,Seed augmentation — Topic 15B,Clinical translation bridge from remyelination biology (Franklin 2008) to therapeutic pipeline; Lancet Neurology 2020 anchor for remyelination-as-treatment literature; neuroprotection and repair strategy neighborhood,seed-current